Commuting Zone,czname,ncollege,nfouryr,nfouryrpriv,npub,nelite,hascollege,Income Age 26 Slope,Income Age 26 Intercept,College Age 19 Slope,College Age 19 Intercept,Number of Children,Birth Cohort
100,Johnson City,7,5,4,3,0,1,0.30025000000000002,0.34132000000000001,0.90307000000000004,-0.017690000000000001,6341,1986
200,Morristown,3,1,1,2,0,1,0.29099999999999998,0.35138999999999998,0.80178000000000005,0.011259999999999999,2671,1986
301,Middlesborough,1,1,1,0,0,1,0.28055000000000002,0.34623999999999999,0.78158000000000005,0.038210000000000001,819,1986
302,Knoxville,6,3,2,4,0,1,0.29637000000000002,0.34460000000000002,0.90656000000000003,0.015910000000000001,8472,1986
401,Winston-Salem,6,4,2,4,1,1,0.27700000000000002,0.34372999999999998,0.73431999999999997,0.21590000000000001,5965,1986
402,Martinsville,1,0,0,1,0,1,0.34573999999999999,0.33566000000000001,0.78800999999999999,0.11441999999999999,1141,1986
500,Greensboro,14,8,6,8,1,1,0.33019999999999999,0.31559999999999999,0.77290999999999999,0.17404,12467,1986
601,North Wilkesboro,1,0,0,1,0,1,0.33767000000000003,0.34681000000000001,0.79574,0.19419,972,1986
602,Galax,0,0,0,0,0,0,0.35093999999999997,0.38122,0.96621000000000001,0.060589999999999998,622,1986
700,Spartanburg,5,3,3,1,1,1,0.31226999999999999,0.33289999999999997,0.77705999999999997,0.16688,4253,1986
800,Gastonia,5,2,2,3,0,1,0.33966000000000002,0.33035999999999999,0.78512000000000004,0.15307999999999999,5280,1986
900,Charlotte,12,7,5,6,1,1,0.30829000000000001,0.32713999999999999,0.76873000000000002,0.14543,17865,1986
1001,Boone,3,2,1,2,0,1,0.26926,0.35419,0.83540000000000003,0.11672,813,1986
1002,Morganton,2,0,0,2,0,1,0.35122999999999999,0.33633999999999997,0.79469000000000001,0.15470999999999999,1853,1986
1100,Hickory,4,1,1,3,0,1,0.31107000000000001,0.34373999999999999,0.79215000000000002,0.14047999999999999,4426,1986
1201,Franklin,0,0,0,0,0,0,0.26544000000000001,0.37813000000000002,0.86936999999999998,0.072730000000000003,453,1986
1202,Sylva,2,1,0,2,0,1,0.19639999999999999,0.40838999999999998,0.71164000000000005,0.21293999999999999,555,1986
1203,Asheville,7,4,3,4,0,1,0.28875000000000001,0.35034999999999999,0.79493000000000003,0.14363000000000001,4248,1986
1204,Andrews,2,1,1,1,0,1,0.24123,0.38612999999999997,0.62417999999999996,0.18689,591,1986
1301,Bennettsville,1,0,0,1,0,1,0.42442999999999997,0.27556999999999998,0.78993999999999998,0.14224999999999999,1022,1986
1302,Florence,6,3,1,5,0,1,0.31857000000000002,0.31047000000000002,0.77244999999999997,0.15704000000000001,7158,1986
1400,Fayetteville,8,3,1,7,0,1,0.29194999999999999,0.31474999999999997,0.68989999999999996,0.21809999999999999,8957,1986
1500,Wilmington,5,1,0,5,0,1,0.28437000000000001,0.31777,0.68520999999999999,0.22961999999999999,4052,1986
1600,Wilson,5,2,2,3,0,1,0.35431000000000001,0.29366999999999999,0.73380999999999996,0.19384000000000001,2927,1986
1701,Raleigh,15,10,6,8,2,1,0.28974,0.33240999999999998,0.75827999999999995,0.19883999999999999,16251,1986
1702,Henderson,1,0,0,1,0,1,0.34190999999999999,0.29748000000000002,0.55542999999999998,0.23837,835,1986
1800,Goldsboro,4,1,1,3,0,1,0.31511,0.33202999999999999,0.67403000000000002,0.24934999999999999,2728,1986
1900,Jacksonville,6,1,0,6,0,1,0.29354000000000002,0.33607999999999999,0.71055000000000001,0.21265000000000001,6588,1986
2000,Virginia Beach,8,5,1,5,0,1,0.29320000000000002,0.33348,0.75234999999999996,0.092160000000000006,15904,1986
2100,Washington,2,0,0,2,0,1,0.32217000000000001,0.31669000000000003,0.65995000000000004,0.26618999999999998,1524,1986
2200,South Boston,3,2,1,2,0,1,0.33100000000000002,0.33746999999999999,0.86373999999999995,0.04759,1842,1986
2300,Lynchburg,3,2,2,1,0,1,0.36159000000000002,0.32751000000000002,0.92083000000000004,0.041110000000000001,2852,1986
2400,Richmond,8,4,2,5,1,1,0.32656000000000002,0.32034000000000001,0.83426,0.074469999999999995,14039,1986
2500,Newport News,6,3,1,5,1,1,0.31252999999999997,0.33817000000000003,0.76305000000000001,0.10644000000000001,8088,1986
2600,Roanoke Rapids,2,0,0,2,0,1,0.38815,0.29109000000000002,0.75278,0.22059999999999999,1957,1986
2700,Gulfport,2,0,0,2,0,1,0.28055999999999998,0.35826999999999998,0.75580000000000003,0.057779999999999998,6188,1986
2800,Laurel,1,0,0,1,0,1,0.34786,0.3765,0.75058999999999998,0.018319999999999999,1512,1986
2900,Hattiesburg,2,2,1,1,0,1,0.30409999999999998,0.35515000000000002,0.74707000000000001,0.055789999999999999,2214,1986
3001,Kosciusko,1,0,0,1,0,1,0.36697999999999997,0.29105999999999999,0.54981000000000002,0.12361999999999999,646,1986
3002,Yazoo City,0,0,0,0,0,0,0.41342000000000001,0.27272000000000002,0.74792999999999998,0.14526,612,1986
3003,Jackson,8,4,3,3,0,1,0.33698,0.30919999999999997,0.74546999999999997,0.14577999999999999,7767,1986
3101,McComb,1,0,0,1,0,1,0.30042000000000002,0.36465999999999998,0.66591,0.19649,1443,1986
3102,Brookhaven,0,0,0,0,0,0,0.42871999999999999,0.33405000000000001,0.67515000000000003,0.22669,650,1986
